state_id,county,fips_code,policy_level,date,policy_type,start_stop,comments,source,total_phases
GA,DeKalb County,13089,county,2020-03-28,Shelter in Place,start,DeKalb County Policy Start,wikidata,
MS,Wayne,28153,county,2020-07-13,Houses of Worship,start,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
Gatherings limited to 10 indoors (with social distancing of 6 feet, or with face coverings required when 6 feet is not possible) and 20 outdoors (with social distancing 6 feet, or with face coverings required when 6 ft is not possible).  
All businesses should be following relevant guidelines in these counties such as employee screening/reporting daily, social distancing, cleaning, and face coverings when 6 ft not possible.   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,
SC,,,state,2020-03-17,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
MO,Pike County,29163,county,2020-04-05,Shelter in Place,start,Pike County Policy Start,wikidata,
OH,Trumbull,39155,county,2020-07-08,Mask Requirement,start,"Policy_Details: face coverings required in any indoor location that is not a residence; when outdoors and unable to consistently maintain a distance of 6 ft. from individuals who are not members of the same household; or while waiting for, riding, driving, or operating public transportation, taxi, private car service, or ride-sharing vehicle    Source information: https://coronavirus.ohio.gov/static/publicorders/Directors-Order-Facial-Coverings.pdf",sip_submission_form: https://coronavirus.ohio.gov/static/publicorders/Directors-Order-Facial-Coverings.pdf,
PA,Berks,42011,county,2020-06-26,Phase 2,start,"Policy_Details: Berks County is moving to the green phase on June 26 Phase Level: 2, Phase Details Source information: https://www.governor.pa.gov/newsroom/reopening-phase-orders-updated-to-include-12-additional-counties-moving-to-green-on-june-26/",sip_submission_form: https://www.governor.pa.gov/newsroom/reopening-phase-orders-updated-to-include-12-additional-counties-moving-to-green-on-june-26/,
OR,Clackamas,41005,county,2020-05-23,New Phase,start,"Policy_Details: Allowing the opening of: Restaurants and bars; Personal care services such as salons and barber shops; Gyms and fitness centers; Local gatherings for 25 or fewer with physical distancing; and Malls and shopping centers; Phase Level: 1, Phase Details Source information: https://www.clackamas.us/news/2020-05-22/clackamas-county-will-begin-phase-1-reopening",sip_submission_form: https://www.clackamas.us/news/2020-05-22/clackamas-county-will-begin-phase-1-reopening,
ND,Wells,38103,county,2020-09-03,Food and Drink,start,"Policy_Details: - Operate under heightened hygiene and cleaning standards.
- Resume to normal capacity and operations.
- Monitor employees for symptoms.   Source information: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf",sip_submission_form: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf,5
DE,,,state,2020-03-27,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
GA,Lowndes County,13185,county,2020-03-24,Shelter in Place,start,Lowndes County Policy Start,wikidata,
ME,Cumberland,23005,county,2020-06-01,Food and Drink,start,"Policy_Details: restaurants in Cumberland County tentatively scheduled to open for dine-in on June 1 (stage 2), now restricted to outdoor dining, take-away, & delivery only Phase Level: 2, Phase Details Source information: https://www.maine.gov/governor/mills/news/mills-administration-announces-update-restarting-maines-economy-plan-2020-05-27",sip_submission_form: https://www.maine.gov/governor/mills/news/mills-administration-announces-update-restarting-maines-economy-plan-2020-05-27,3
TX,San Jacinto County,48407,county,2020-03-25,Shelter in Place,start,San Jacinto County Policy Start,wikidata,
MI,,,state,2020-03-20,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, paid sick leave",BU COVID-19 State Policy Database,
PA,Luzerne County,42079,county,2020-03-27,Shelter in Place,start,Luzerne County Policy Start,wikidata,
CA,Ventura,06111,county,2020-10-06,Houses of Worship,start,Policy_Details: Worship services may be carried out indoors provided they follow safety protocols.   Source information: https://www.venturacountyrecovers.org/public-health-orders/,sip_submission_form: https://www.venturacountyrecovers.org/public-health-orders/,
ID,Ada,16001,county,2020-06-24,Childcare (K-12),start,Policy_Details: Ada County Schools loosened restrictions with designation of county as Category 2 on 9/4/2020 by Central District Health.   Source information: https://www.cdhd.idaho.gov/dac-coronavirus-order.php,sip_submission_form: https://www.cdhd.idaho.gov/dac-coronavirus-order.php,4
NH,Sullivan,33019,county,2020-06-15,Food and Drink,start,"Policy_Details: restaurants open for indoor seated dining at 100% occupancy capacity (6 ft between tables, 6 guests/table)    Source information: https://www.governor.nh.gov/sites/g/files/ehbemt336/files/files/inline-documents/emergency-order-52-b_0.pdf",sip_submission_form: https://www.governor.nh.gov/sites/g/files/ehbemt336/files/files/inline-documents/emergency-order-52-b_0.pdf,
ND,McLean,38055,county,2020-09-03,Outdoor and Recreation,start,"Policy_Details: - Fitness centers, gyms and indoor/outdoor sporting events may consider opening.
- Pre-screen and monitor employees for symptoms.
- Gatherings in facilities can be up to 50% certificate of occupancy for that room but no more than 250 people.
- Masks and social distancing required.   Source information: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf",sip_submission_form: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf,5
WA,,,state,2020-03-25,Non-Essential Businesses,start,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",BU COVID-19 State Policy Database,
TX,McLennan County,48309,county,2020-03-23,Shelter in Place,start,McLennan County Policy Start,wikidata,
