Date,NSA Value,SA Value
2020-11-30,216.362121,216.317308
2020-10-31,214.20519889,213.13942685
2020-09-30,212.03799414,210.0478461
2020-08-31,209.70109164,206.92303728
2020-07-31,207.11745018,203.90380349
2020-06-30,204.48052259,201.32283368
2020-05-31,202.4360833,199.92388158
2020-04-30,201.34726859,199.93058537
2020-03-31,200.08155676,199.87833992
2020-02-29,198.0158242,198.96414475
2020-01-31,196.20569955,197.35997999
2019-12-31,195.35276878,196.22420633
2019-11-30,195.19018867,195.2035688
2019-10-31,195.27977683,194.35723572
2019-09-30,195.33521138,193.53194624
2019-08-31,195.34365194,192.74987521
2019-07-31,195.20005726,192.12137149
2019-06-30,194.6106134,191.54140436
2019-05-31,193.44995305,190.97666072
2019-04-30,191.79743103,190.38642386
2019-03-31,190.01657553,189.85164338
2019-02-28,188.55766098,189.51036228
2019-01-31,187.6286881,188.80298483
2018-12-31,187.37562195,188.25904447
2018-11-30,187.70763294,187.78751838
2018-10-31,188.05756063,187.21904126
2018-09-30,188.24310076,186.51691003
2018-08-31,188.38774799,185.84306191
2018-07-31,188.29484933,185.22898302
2018-06-30,187.69556667,184.62442766
2018-05-31,186.50921217,184.02798894
2018-04-30,184.83873751,183.42437594
2018-03-31,182.84372496,182.75447746
2018-02-28,180.77850301,181.79145947
2018-01-31,179.19584244,180.44937492
2017-12-31,178.39076093,179.30190828
2017-11-30,178.09209283,178.22569809
2017-10-31,178.00600331,177.2397255
2017-09-30,177.9757183,176.31005905
2017-08-31,177.84289825,175.34265865
2017-07-31,177.38206463,174.35001181
2017-06-30,176.45226432,173.42678614
2017-05-31,174.99720129,172.59138984
2017-04-30,172.95945556,171.65740108
2017-03-31,170.64947349,170.68351661
2017-02-28,168.67057628,169.76841736
2017-01-31,167.4542504,168.8022274
2016-12-31,166.94338622,167.85822477
2016-11-30,166.80758696,166.92383819
2016-10-31,166.80511268,166.04959805
2016-09-30,166.83599887,165.19684524
2016-08-31,166.80767055,164.32926272
2016-07-31,166.49204078,163.48725496
2016-06-30,165.64452786,162.68716881
2016-05-31,164.11871322,161.84922886
2016-04-30,162.15598083,161.02377918
2016-03-31,160.12999814,160.3042564
2016-02-29,158.37898067,159.58262428
2016-01-31,157.4313253,158.87032568
2015-12-31,157.33538957,158.24422164
2015-11-30,157.46750441,157.53773439
2015-10-31,157.51772281,156.71930198
2015-09-30,157.56917699,155.9042223
2015-08-31,157.60405448,155.11649618
2015-07-31,157.31560908,154.32135271
2015-06-30,156.39863096,153.50469772
2015-05-31,154.82211638,152.70488997
2015-04-30,152.89552928,151.94810402
2015-03-31,150.94625126,151.26974355
2015-02-28,149.28898712,150.6035625
2015-01-31,148.46721557,149.96416192
2014-12-31,148.41641933,149.29751477
2014-11-30,148.60561618,148.62016871
2014-10-31,148.74209495,147.87544967
2014-09-30,148.89179409,147.19856756
2014-08-31,149.12769528,146.66008451
2014-07-31,149.07570455,146.12678246
2014-06-30,148.37379329,145.55853541
2014-05-31,147.11200766,145.13461319
2014-04-30,145.52427647,144.71377361
2014-03-31,143.77214746,144.23509995
2014-02-28,142.23313897,143.62865242
2014-01-31,141.42597083,142.95648461
2013-12-31,141.36845083,142.20660846
2013-11-30,141.61730204,141.57139171
2013-10-31,141.84766375,140.90983706
2013-09-30,141.95277099,140.22510078
2013-08-31,141.84962785,139.43412221
2013-07-31,141.20413103,138.36739348
2013-06-30,139.69257939,137.01781387
2013-05-31,137.51769007,135.71398739
2013-04-30,135.06673583,134.39488472
2013-03-31,132.59811253,133.14554768
2013-02-28,130.47797208,131.83395453
2013-01-31,129.13571778,130.55763731
2012-12-31,128.67331153,129.38712524
2012-11-30,128.66763526,128.54387963
2012-10-31,128.56343482,127.63287561
2012-09-30,128.3067795,126.69333011
2012-08-31,128.02013011,125.83462854
2012-07-31,127.62676065,125.08832565
2012-06-30,126.8610077,124.47236571
2012-05-31,125.45199529,123.85044323
2012-04-30,123.63150477,123.06698485
2012-03-31,121.78554947,122.34917641
2012-02-29,120.53228185,121.79590591
2012-01-31,120.3692392,121.68159783
2011-12-31,121.05621587,121.65330131
2011-11-30,121.89623693,121.6854454
2011-10-31,122.63094704,121.67389796
2011-09-30,123.37706858,121.78564913
2011-08-31,124.03135903,121.92291193
2011-07-31,124.52216025,122.10619437
2011-06-30,124.5801484,122.33614107
2011-05-31,124.1709042,122.65734804
2011-04-30,123.62488293,123.12312617
2011-03-31,123.14242559,123.73450153
2011-02-28,123.07594244,124.33318759
2011-01-31,123.6827728,124.97013594
2010-12-31,124.82399548,125.37867968
2010-11-30,126.10404198,125.80066721
2010-10-31,127.22908392,126.1689425
2010-09-30,128.38443808,126.6874098
2010-08-31,129.68974789,127.49415114
2010-07-31,130.87177032,128.39947692
2010-06-30,131.67533482,129.42879827
2010-05-31,131.85752813,130.33689627
2010-04-30,131.40709264,130.92640097
2010-03-31,130.75313108,131.37227648
2010-02-28,130.2066987,131.47815382
2010-01-31,130.26620538,131.56607181
2009-12-31,131.13586444,131.69424237
2009-11-30,132.17595247,131.82516287
2009-10-31,132.80599122,131.64178352
2009-09-30,133.16705279,131.3409663
2009-08-31,133.44751282,131.17649932
2009-07-31,133.52269372,131.04991682
2009-06-30,133.09050501,130.9313618
2009-05-31,132.19053771,130.75977264
2009-04-30,131.5607448,131.10483373
2009-03-31,131.54469544,132.13126672
2009-02-28,132.04206198,133.2334694
2009-01-31,133.18667164,134.45123668
2008-12-31,135.29354369,135.88651475
2008-11-30,138.09306428,137.74647315
2008-10-31,140.80776594,139.58125258
2008-09-30,143.09821476,141.13049991
2008-08-31,145.06312893,142.61058934
2008-07-31,146.69582388,144.02159914
2008-06-30,147.67921481,145.33807736
2008-05-31,148.18512093,146.63953747
2008-04-30,148.71485499,148.16610789
2008-03-31,149.40020198,149.96385107
2008-02-29,150.49729248,151.73413895
2008-01-31,152.20297828,153.57340628
2007-12-31,154.41752476,155.09078835
2007-11-30,156.85937564,156.53338892
2007-10-31,159.30896651,157.99573546
2007-09-30,161.54189631,159.38895797
2007-08-31,163.32455683,160.61841175
2007-07-31,164.65453206,161.72448715
2007-06-30,165.37725319,162.79864161
2007-05-31,165.42615546,163.70968275
2007-04-30,165.07136829,164.38155677
2007-03-31,164.29746641,164.79279292
2007-02-28,163.29902042,164.50976711
2007-01-31,162.69978975,164.07635109
2006-12-31,162.95395432,163.63235736
2006-11-30,163.87225727,163.5621664
2006-10-31,164.78542872,163.51341301
2006-09-30,165.60273109,163.51881324
2006-08-31,166.49982167,163.82300709
2006-07-31,167.04896952,164.14348787
2006-06-30,166.90957985,164.33935131
2006-05-31,166.15454308,164.45156526
2006-04-30,164.91035305,164.19991008
2006-03-31,163.48468142,163.90012909
2006-02-28,162.22246695,163.36445858
2006-01-31,161.45690865,162.69340907
2005-12-31,161.28550248,161.84903269
2005-11-30,161.28944128,160.93018148
2005-10-31,161.04171397,159.80887413
2005-09-30,160.50471234,158.54514084
2005-08-31,159.54682965,157.05174714
2005-07-31,158.09452126,155.45821841
2005-06-30,156.2283734,153.92567843
2005-05-31,154.0103358,152.50808634
2005-04-30,151.54130622,150.92981936
2005-03-31,149.01260489,149.37832995
2005-02-28,146.91247675,147.89362758
2005-01-31,145.45380541,146.41665648
2004-12-31,144.57107943,144.93602166
2004-11-30,144.01173353,143.58114088
2004-10-31,143.33852653,142.20508839
2004-09-30,142.58496548,140.88498678
2004-08-31,141.82869608,139.68436017
2004-07-31,140.74191324,138.50192071
2004-06-30,139.03650548,137.10656756
2004-05-31,136.7467564,135.52659935
2004-04-30,134.21706281,133.73872895
2004-03-31,131.98979238,132.29615413
2004-02-29,130.30100466,131.10281549
2004-01-31,129.19902092,129.89323582
2003-12-31,128.53825908,128.72293748
2003-11-30,127.98015636,127.50832546
2003-10-31,127.3891808,126.35002745
2003-09-30,126.74267404,125.26264209
2003-08-31,125.97506193,124.16060429
2003-07-31,124.897267,123.04740614
2003-06-30,123.57107482,121.98916662
2003-05-31,122.2955418,121.27914899
2003-04-30,121.05396925,120.63120797
2003-03-31,119.72640129,119.94070203
2003-02-28,118.64103423,119.24601557
2003-01-31,118.02878188,118.52783268
2002-12-31,117.63731616,117.71347565
2002-11-30,117.28432817,116.81971246
2002-10-31,116.81403595,115.8860841
2002-09-30,116.1829285,114.90281986
2002-08-31,115.55353306,114.00066841
2002-07-31,114.71723925,113.1126812
2002-06-30,113.55554211,112.17803739
2002-05-31,112.24895709,111.32715108
2002-04-30,110.89079859,110.46778249
2002-03-31,109.53068889,109.64138544
