Region, National
"February 1, 2012",6.8
"March 1, 2012",5.4
"April 1, 2012",5.3
"May 1, 2012",4.7
"June 1, 2012",4.4
"July 1, 2012",4.7
"August 1, 2012",4.2
"September 1, 2012",5.1
"October 1, 2012",4.6
"November 1, 2012",4.6
"December 1, 2012",4.3
"January 1, 2013",5.4
"February 1, 2013",5.3
"March 1, 2013",4.2
"April 1, 2013",4
"May 1, 2013",3.6
"June 1, 2013",3.7
"July 1, 2013",3.6
"August 1, 2013",3.7
"September 1, 2013",4.4
"October 1, 2013",4.4
"November 1, 2013",4.8
"December 1, 2013",4.2
"January 1, 2014",5.6
"February 1, 2014",5.6
"March 1, 2014",4.6
"April 1, 2014",4.3
"May 1, 2014",3.9
"June 1, 2014",3.8
"July 1, 2014",4
"August 1, 2014",4.1
"September 1, 2014",4.4
"October 1, 2014",4.2
"November 1, 2014",5
"December 1, 2014",3.9
"January 1, 2015",5.6
"February 1, 2015",5.2
"March 1, 2015",3.9
"April 1, 2015",3.9
"May 1, 2015",3.7
"June 1, 2015",3.2
"July 1, 2015",3.3
"August 1, 2015",3.6
"September 1, 2015",3.8
"October 1, 2015",3.9
"November 1, 2015",4.6
"December 1, 2015",3.3
"January 1, 2016",4.7
"February 1, 2016",4.5
"March 1, 2016",3.5
"April 1, 2016",3.4
"May 1, 2016",3.1
"June 1, 2016",2.8
"July 1, 2016",3.2
"August 1, 2016",3
"September 1, 2016",3.3
"October 1, 2016",3.5
"November 1, 2016",3.4
"December 1, 2016",2.9
"January 1, 2017",3.9
"February 1, 2017",3.9
"March 1, 2017",2.9
"April 1, 2017",3.1
"May 1, 2017",2.6
"June 1, 2017",2.5
"July 1, 2017",2.9
"August 1, 2017",2.7
"September 1, 2017",3.1
"October 1, 2017",3
"November 1, 2017",3
"December 1, 2017",2.6
"January 1, 2018",3.5
"February 1, 2018",3.5
"March 1, 2018",2.7
"April 1, 2018",2.7
"May 1, 2018",2.5
"June 1, 2018",2.5
"July 1, 2018",2.7
"August 1, 2018",2.6
"September 1, 2018",3.4
"October 1, 2018",3.2
"November 1, 2018",3.3
"December 1, 2018",3.2
"January 1, 2019",4.2
"February 1, 2019",3.8
"March 1, 2019",3
"April 1, 2019",2.8
"May 1, 2019",2.6
"June 1, 2019",2.7
"July 1, 2019",2.6
"August 1, 2019",2.6
"September 1, 2019",3.1
"October 1, 2019",2.9
"November 1, 2019",3
"December 1, 2019",2.5
"January 1, 2020",3.3
"February 1, 2020",3.1
"March 1, 2020",2.6
"April 1, 2020",3
"May 1, 2020",3.1
"June 1, 2020",2.1
"July 1, 2020",1.7
"August 1, 2020",1.7
"September 1, 2020",1.7
"October 1, 2020",1.6
"November 1, 2020",1.6
