Region, National
"February 1, 2012",5.4
"March 1, 2012",5.6
"April 1, 2012",5.5
"May 1, 2012",5.3
"June 1, 2012",5.2
"July 1, 2012",5.1
"August 1, 2012",4.9
"September 1, 2012",4.7
"October 1, 2012",4.6
"November 1, 2012",4.5
"December 1, 2012",4.5
"January 1, 2013",4.3
"February 1, 2013",4.4
"March 1, 2013",4.2
"April 1, 2013",4.3
"May 1, 2013",4.2
"June 1, 2013",4.1
"July 1, 2013",4.1
"August 1, 2013",4.1
"September 1, 2013",4.3
"October 1, 2013",4.4
"November 1, 2013",4.5
"December 1, 2013",4.5
"January 1, 2014",4.6
"February 1, 2014",4.6
"March 1, 2014",4.6
"April 1, 2014",4.5
"May 1, 2014",4.4
"June 1, 2014",4.4
"July 1, 2014",4.4
"August 1, 2014",4.4
"September 1, 2014",4.4
"October 1, 2014",4.3
"November 1, 2014",4.4
"December 1, 2014",4.4
"January 1, 2015",4.4
"February 1, 2015",4.3
"March 1, 2015",4.1
"April 1, 2015",4.1
"May 1, 2015",4
"June 1, 2015",3.9
"July 1, 2015",3.8
"August 1, 2015",3.8
"September 1, 2015",3.7
"October 1, 2015",3.8
"November 1, 2015",4.3
"December 1, 2015",3.7
"January 1, 2016",3.6
"February 1, 2016",3.6
"March 1, 2016",3.7
"April 1, 2016",3.6
"May 1, 2016",3.5
"June 1, 2016",3.4
"July 1, 2016",3.4
"August 1, 2016",3.4
"September 1, 2016",3.3
"October 1, 2016",3.2
"November 1, 2016",3.2
"December 1, 2016",3.2
"January 1, 2017",3.1
"February 1, 2017",3.2
"March 1, 2017",3.1
"April 1, 2017",3
"May 1, 2017",3
"June 1, 2017",3
"July 1, 2017",3
"August 1, 2017",3
"September 1, 2017",3
"October 1, 2017",3
"November 1, 2017",2.8
"December 1, 2017",2.8
"January 1, 2018",2.8
"February 1, 2018",2.9
"March 1, 2018",2.8
"April 1, 2018",2.8
"May 1, 2018",2.8
"June 1, 2018",2.9
"July 1, 2018",2.9
"August 1, 2018",3
"September 1, 2018",3.1
"October 1, 2018",3.2
"November 1, 2018",3.2
"December 1, 2018",3.3
"January 1, 2019",3.4
"February 1, 2019",3.1
"March 1, 2019",3.1
"April 1, 2019",3
"May 1, 2019",3
"June 1, 2019",3
"July 1, 2019",3
"August 1, 2019",2.9
"September 1, 2019",3
"October 1, 2019",2.9
"November 1, 2019",2.8
"December 1, 2019",2.7
"January 1, 2020",2.7
"February 1, 2020",2.4
"March 1, 2020",2.7
"April 1, 2020",3.2
"May 1, 2020",3.4
"June 1, 2020",2.5
"July 1, 2020",1.9
"August 1, 2020",1.8
"September 1, 2020",1.6
"October 1, 2020",1.5
"November 1, 2020",1.5
