Region, National
"February 1, 2012",-0.6
"March 1, 2012",-1.4
"April 1, 2012",-0.1
"May 1, 2012",-0.7
"June 1, 2012",-0.3
"July 1, 2012",0.3
"August 1, 2012",-0.5
"September 1, 2012",0.9
"October 1, 2012",-0.5
"November 1, 2012",0
"December 1, 2012",-0.3
"January 1, 2013",1.1
"February 1, 2013",-0.1
"March 1, 2013",-1.1
"April 1, 2013",-0.2
"May 1, 2013",-0.4
"June 1, 2013",0.1
"July 1, 2013",-0.1
"August 1, 2013",0.1
"September 1, 2013",0.8
"October 1, 2013",-0.1
"November 1, 2013",0.5
"December 1, 2013",-0.7
"January 1, 2014",1.5
"February 1, 2014",0
"March 1, 2014",-1
"April 1, 2014",-0.4
"May 1, 2014",-0.4
"June 1, 2014",-0.1
"July 1, 2014",0.2
"August 1, 2014",0.1
"September 1, 2014",0.4
"October 1, 2014",-0.2
"November 1, 2014",0.8
"December 1, 2014",-1.1
"January 1, 2015",1.7
"February 1, 2015",-0.4
"March 1, 2015",-1.3
"April 1, 2015",-0.1
"May 1, 2015",-0.2
"June 1, 2015",-0.5
"July 1, 2015",0.1
"August 1, 2015",0.3
"September 1, 2015",0.2
"October 1, 2015",0.1
"November 1, 2015",0.7
"December 1, 2015",-1.3
"January 1, 2016",1.4
"February 1, 2016",-0.2
"March 1, 2016",-0.9
"April 1, 2016",-0.1
"May 1, 2016",-0.3
"June 1, 2016",-0.3
"July 1, 2016",0.4
"August 1, 2016",-0.2
"September 1, 2016",0.3
"October 1, 2016",0.2
"November 1, 2016",-0.1
"December 1, 2016",-0.5
"January 1, 2017",1.1
"February 1, 2017",0
"March 1, 2017",-1.1
"April 1, 2017",0.2
"May 1, 2017",-0.5
"June 1, 2017",-0.1
"July 1, 2017",0.4
"August 1, 2017",-0.2
"September 1, 2017",0.4
"October 1, 2017",-0.1
"November 1, 2017",-0.1
"December 1, 2017",-0.4
"January 1, 2018",0.9
"February 1, 2018",0
"March 1, 2018",-0.9
"April 1, 2018",0
"May 1, 2018",-0.2
"June 1, 2018",0
"July 1, 2018",0.2
"August 1, 2018",0
"September 1, 2018",0.8
"October 1, 2018",-0.3
"November 1, 2018",0.1
"December 1, 2018",-0.1
"January 1, 2019",1.1
"February 1, 2019",-0.4
"March 1, 2019",-0.8
"April 1, 2019",-0.2
"May 1, 2019",-0.3
"June 1, 2019",0.2
"July 1, 2019",-0.1
"August 1, 2019",0
"September 1, 2019",0.5
"October 1, 2019",-0.2
"November 1, 2019",0.1
"December 1, 2019",-0.6
"January 1, 2020",0.9
"February 1, 2020",-0.2
"March 1, 2020",-0.5
"April 1, 2020",0.4
"May 1, 2020",0.1
"June 1, 2020",-1
"July 1, 2020",-0.4
"August 1, 2020",0
"September 1, 2020",0
"October 1, 2020",-0.1
"November 1, 2020",0
