Region, National
"February 1, 2012",-0.4
"March 1, 2012",0.2
"April 1, 2012",-0.1
"May 1, 2012",-0.2
"June 1, 2012",-0.2
"July 1, 2012",-0.1
"August 1, 2012",-0.2
"September 1, 2012",-0.2
"October 1, 2012",-0.1
"November 1, 2012",-0.1
"December 1, 2012",0
"January 1, 2013",-0.2
"February 1, 2013",0.1
"March 1, 2013",-0.1
"April 1, 2013",0
"May 1, 2013",-0.1
"June 1, 2013",-0.1
"July 1, 2013",-0.1
"August 1, 2013",0
"September 1, 2013",0.2
"October 1, 2013",0.1
"November 1, 2013",0.2
"December 1, 2013",0
"January 1, 2014",0.1
"February 1, 2014",0
"March 1, 2014",0
"April 1, 2014",-0.1
"May 1, 2014",-0.2
"June 1, 2014",0.1
"July 1, 2014",0
"August 1, 2014",0
"September 1, 2014",0
"October 1, 2014",0
"November 1, 2014",0.1
"December 1, 2014",0
"January 1, 2015",0
"February 1, 2015",-0.1
"March 1, 2015",-0.2
"April 1, 2015",0
"May 1, 2015",-0.1
"June 1, 2015",-0.1
"July 1, 2015",-0.1
"August 1, 2015",0
"September 1, 2015",0
"October 1, 2015",0.1
"November 1, 2015",0.5
"December 1, 2015",-0.5
"January 1, 2016",-0.1
"February 1, 2016",0
"March 1, 2016",0.2
"April 1, 2016",-0.2
"May 1, 2016",-0.1
"June 1, 2016",-0.1
"July 1, 2016",0
"August 1, 2016",0
"September 1, 2016",-0.1
"October 1, 2016",-0.1
"November 1, 2016",0
"December 1, 2016",-0.1
"January 1, 2017",-0.1
"February 1, 2017",0.1
"March 1, 2017",-0.1
"April 1, 2017",-0.1
"May 1, 2017",0
"June 1, 2017",0
"July 1, 2017",0
"August 1, 2017",0
"September 1, 2017",0
"October 1, 2017",0
"November 1, 2017",-0.1
"December 1, 2017",0
"January 1, 2018",0
"February 1, 2018",0.1
"March 1, 2018",-0.1
"April 1, 2018",0
"May 1, 2018",0
"June 1, 2018",0
"July 1, 2018",0
"August 1, 2018",0.1
"September 1, 2018",0.1
"October 1, 2018",0.1
"November 1, 2018",0
"December 1, 2018",0.1
"January 1, 2019",0.1
"February 1, 2019",-0.2
"March 1, 2019",-0.1
"April 1, 2019",-0.1
"May 1, 2019",0
"June 1, 2019",0
"July 1, 2019",-0.1
"August 1, 2019",0
"September 1, 2019",0.1
"October 1, 2019",0
"November 1, 2019",-0.1
"December 1, 2019",-0.1
"January 1, 2020",0
"February 1, 2020",-0.4
"March 1, 2020",0.3
"April 1, 2020",0.5
"May 1, 2020",0.2
"June 1, 2020",-0.9
"July 1, 2020",-0.6
"August 1, 2020",-0.1
"September 1, 2020",-0.1
"October 1, 2020",-0.1
"November 1, 2020",-0.1
