Region, National
"February 1, 2012",-2.6
"March 1, 2012",-1.5
"April 1, 2012",-1.6
"May 1, 2012",-1.9
"June 1, 2012",-1.4
"July 1, 2012",-1.8
"August 1, 2012",-1.6
"September 1, 2012",-1.3
"October 1, 2012",-2.2
"November 1, 2012",-2.2
"December 1, 2012",-1.4
"January 1, 2013",-2.1
"February 1, 2013",-1.5
"March 1, 2013",-1.2
"April 1, 2013",-1.3
"May 1, 2013",-1.1
"June 1, 2013",-0.7
"July 1, 2013",-1.1
"August 1, 2013",-0.5
"September 1, 2013",-0.7
"October 1, 2013",-0.2
"November 1, 2013",0.3
"December 1, 2013",-0.1
"January 1, 2014",0.3
"February 1, 2014",0.3
"March 1, 2014",0.5
"April 1, 2014",0.3
"May 1, 2014",0.3
"June 1, 2014",0
"July 1, 2014",0.3
"August 1, 2014",0.4
"September 1, 2014",0
"October 1, 2014",-0.2
"November 1, 2014",0.2
"December 1, 2014",-0.3
"January 1, 2015",0
"February 1, 2015",-0.4
"March 1, 2015",-0.7
"April 1, 2015",-0.4
"May 1, 2015",-0.2
"June 1, 2015",-0.5
"July 1, 2015",-0.7
"August 1, 2015",-0.5
"September 1, 2015",-0.6
"October 1, 2015",-0.3
"November 1, 2015",-0.5
"December 1, 2015",-0.6
"January 1, 2016",-0.9
"February 1, 2016",-0.7
"March 1, 2016",-0.4
"April 1, 2016",-0.5
"May 1, 2016",-0.6
"June 1, 2016",-0.4
"July 1, 2016",-0.1
"August 1, 2016",-0.6
"September 1, 2016",-0.5
"October 1, 2016",-0.4
"November 1, 2016",-1.2
"December 1, 2016",-0.4
"January 1, 2017",-0.8
"February 1, 2017",-0.6
"March 1, 2017",-0.7
"April 1, 2017",-0.3
"May 1, 2017",-0.5
"June 1, 2017",-0.4
"July 1, 2017",-0.3
"August 1, 2017",-0.3
"September 1, 2017",-0.2
"October 1, 2017",-0.4
"November 1, 2017",-0.4
"December 1, 2017",-0.3
"January 1, 2018",-0.4
"February 1, 2018",-0.4
"March 1, 2018",-0.2
"April 1, 2018",-0.4
"May 1, 2018",-0.1
"June 1, 2018",0
"July 1, 2018",-0.2
"August 1, 2018",-0.1
"September 1, 2018",0.3
"October 1, 2018",0.1
"November 1, 2018",0.3
"December 1, 2018",0.6
"January 1, 2019",0.7
"February 1, 2019",0.3
"March 1, 2019",0.4
"April 1, 2019",0.1
"May 1, 2019",0.1
"June 1, 2019",0.3
"July 1, 2019",0
"August 1, 2019",0
"September 1, 2019",-0.3
"October 1, 2019",-0.2
"November 1, 2019",-0.2
"December 1, 2019",-0.7
"January 1, 2020",-0.9
"February 1, 2020",-0.7
"March 1, 2020",-0.4
"April 1, 2020",0.1
"May 1, 2020",0.5
"June 1, 2020",-0.6
"July 1, 2020",-0.9
"August 1, 2020",-0.9
"September 1, 2020",-1.4
"October 1, 2020",-1.4
"November 1, 2020",-1.5
