Region, National
"February 1, 2012",
"March 1, 2012",
"April 1, 2012",
"May 1, 2012",
"June 1, 2012",
"July 1, 2012",
"August 1, 2012",
"September 1, 2012",
"October 1, 2012",
"November 1, 2012",
"December 1, 2012",
"January 1, 2013",-1.5
"February 1, 2013",-1.1
"March 1, 2013",-1.4
"April 1, 2013",-1.3
"May 1, 2013",-1.1
"June 1, 2013",-1.1
"July 1, 2013",-1
"August 1, 2013",-0.8
"September 1, 2013",-0.4
"October 1, 2013",-0.2
"November 1, 2013",0.1
"December 1, 2013",0.1
"January 1, 2014",0.3
"February 1, 2014",0.2
"March 1, 2014",0.4
"April 1, 2014",0.3
"May 1, 2014",0.1
"June 1, 2014",0.3
"July 1, 2014",0.3
"August 1, 2014",0.3
"September 1, 2014",0.1
"October 1, 2014",0
"November 1, 2014",-0.1
"December 1, 2014",-0.2
"January 1, 2015",-0.3
"February 1, 2015",-0.3
"March 1, 2015",-0.5
"April 1, 2015",-0.4
"May 1, 2015",-0.3
"June 1, 2015",-0.5
"July 1, 2015",-0.6
"August 1, 2015",-0.6
"September 1, 2015",-0.6
"October 1, 2015",-0.5
"November 1, 2015",-0.2
"December 1, 2015",-0.7
"January 1, 2016",-0.8
"February 1, 2016",-0.7
"March 1, 2016",-0.3
"April 1, 2016",-0.6
"May 1, 2016",-0.6
"June 1, 2016",-0.5
"July 1, 2016",-0.4
"August 1, 2016",-0.4
"September 1, 2016",-0.4
"October 1, 2016",-0.6
"November 1, 2016",-1
"December 1, 2016",-0.5
"January 1, 2017",-0.5
"February 1, 2017",-0.4
"March 1, 2017",-0.6
"April 1, 2017",-0.5
"May 1, 2017",-0.5
"June 1, 2017",-0.4
"July 1, 2017",-0.4
"August 1, 2017",-0.4
"September 1, 2017",-0.3
"October 1, 2017",-0.3
"November 1, 2017",-0.4
"December 1, 2017",-0.4
"January 1, 2018",-0.2
"February 1, 2018",-0.3
"March 1, 2018",-0.3
"April 1, 2018",-0.2
"May 1, 2018",-0.2
"June 1, 2018",-0.1
"July 1, 2018",-0.1
"August 1, 2018",0
"September 1, 2018",0.1
"October 1, 2018",0.2
"November 1, 2018",0.4
"December 1, 2018",0.5
"January 1, 2019",0.5
"February 1, 2019",0.3
"March 1, 2019",0.3
"April 1, 2019",0.2
"May 1, 2019",0.2
"June 1, 2019",0.1
"July 1, 2019",0.1
"August 1, 2019",-0.1
"September 1, 2019",-0.1
"October 1, 2019",-0.3
"November 1, 2019",-0.4
"December 1, 2019",-0.6
"January 1, 2020",-0.6
"February 1, 2020",-0.8
"March 1, 2020",-0.4
"April 1, 2020",0.1
"May 1, 2020",0.3
"June 1, 2020",-0.5
"July 1, 2020",-1
"August 1, 2020",-1.1
"September 1, 2020",-1.3
"October 1, 2020",-1.4
"November 1, 2020",-1.4
