Region,Month of Period End,Property Type,Region Type,Seasonally Adjusted,State Code,City,last_updated,Measure Display,parent_metro_region,Period Begin,Period End,State,Table Id,Worksheet Filter,active_listings,active_listings_mom,active_listings_yoy,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median List Ppsf,Median List Ppsf Mom,Median List Ppsf Yoy,Median List Price,Median List Price Mom,Median List Price Yoy,Median Ppsf,Median Ppsf Mom,Median Ppsf Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,New Listings,New Listings Mom,New Listings Yoy,Number of Records,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region_metro_code,pending_sales,pending_sales_mom,pending_sales_yoy,Period Duration,Price Drops,Price Drops Mom,Price Drops Yoy,property_type_id,region_type_id,Sold Above List,Sold Above List Mom,Sold Above List Yoy
 National,January 2016,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,1/1/2016,1/31/2016,U.S.,1400,Value,2079954,-0.020212874,-0.062060918,0.972180634,-0.2%,0.5%,341903,-30.1%,10.4%,1604314,-0.7%,-7.7%,66,6,-10,134,0.068776996,0.073235387,253173,0.104505333,0.091127259,125,-0.022653609,0.070705291,$228K,-4.1%,7.0%,4.692296296,1.388397628,-0.921140825,498183,47.7%,-2.8%,1,0.345457008,0.089455039,0.025048802,,265223,-4.5%,6.2%,30,0.108486426,0.015782561,0.014092473,-1,11,0.184653517,-0.006786440,0.018761887
 National,April 2012,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,4/1/2012,4/30/2012,U.S.,1400,Value,2662923,0.011163800,-0.129866147,0.965331913,0.3%,0.7%,404927,2.8%,8.9%,2155803,1.7%,-16.3%,80,-12,-17,108,1.780491310e-05,-0.007754469,199368,-0.000506529,0.003334221,98,0.039633372,0.041856904,$178K,4.2%,5.9%,5.323918033,-0.056766628,-1.603823448,607611,-2.6%,-1.6%,1,0.323910293,-0.009092948,0.061687016,,309537,8.3%,22.5%,30,0.056576305,-0.003320656,-0.017282699,-1,11,0.188481138,0.005822875,0.018679662
 National,March 2019,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,3/1/2019,3/31/2019,U.S.,1400,Value,2129299,0.092120456,0.044900469,0.980943848,0.3%,-0.4%,490722,30.9%,-5.8%,1494395,3.8%,7.8%,50,-9,5,163,0.006817503,0.041547542,314919,0.017625344,0.037333108,153,0.022560521,0.026223808,$283K,2.9%,2.3%,3.045294510,-0.794226676,0.384022391,711348,30.4%,-3.0%,1,0.453491149,0.030234041,-0.032672764,,458146,37.1%,-6.6%,30,0.132078310,0.008235966,0.015495819,-1,11,0.214006676,0.020586031,-0.042033028
 National,May 2019,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,5/1/2019,5/31/2019,U.S.,1400,Value,2375409,0.053002280,0.040628287,0.986185467,0.2%,-0.3%,647282,17.5%,2.1%,1657511,6.0%,5.5%,37,-5,4,165,0.000978593,0.032110849,317997,0.002763808,0.034179152,158,0.012746058,0.035232223,$298K,2.8%,3.8%,2.560722903,-0.277462539,0.083169734,835135,6.8%,-0.5%,1,0.426198928,-0.022023193,-0.027501370,,572548,6.2%,-2.7%,30,0.155415502,0.015201803,0.014252120,-1,11,0.258254306,0.018019130,-0.036337054
 National,June 2019,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,6/1/2019,6/30/2019,U.S.,1400,Value,2372950,-0.001034995,0.017088443,0.986861071,0.1%,-0.3%,624623,-3.5%,-6.9%,1696761,2.4%,3.1%,36,-1,4,162,-0.017871279,0.023775132,307059,-0.034396977,0.024612474,159,0.004939155,0.026256843,$303K,1.7%,3.6%,2.716452602,0.155729699,0.262903402,737370,-11.7%,-5.8%,1,0.394519452,-0.031679476,-0.018089846,,536436,-6.3%,-4.4%,30,0.161022933,0.005607431,0.008911919,-1,11,0.262854147,0.004599842,-0.033756151
 National,March 2020,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,3/1/2020,3/31/2020,U.S.,1400,Value,1906409,0.050402947,-0.104677568,0.985796584,0.5%,0.5%,507324,25.0%,3.4%,1316823,4.1%,-11.9%,44,-12,-6,168,-0.022987875,0.028865615,322015,-0.009558943,0.022532246,162,0.021648911,0.059862012,$303K,3.1%,6.9%,2.595621726,-0.520825654,-0.449672783,659598,13.8%,-7.3%,1,0.477834169,0.008004958,0.024343020,,444364,17.6%,-3.0%,30,0.115253940,0.001855501,-0.016824369,-1,11,0.253767020,0.036819578,0.039760344
 National,August 2012,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,8/1/2012,8/31/2012,U.S.,1400,Value,2588402,-0.016661143,-0.135913806,0.969959987,-0.1%,1.1%,485480,7.6%,15.0%,2048712,-2.9%,-17.1%,70,2,-16,105,-0.009556983,0.042265080,191294,-0.012554653,0.070806075,103,-0.002587790,0.069221938,$190K,-0.9%,8.2%,4.219967837,-0.454235427,-1.638612129,535612,-0.9%,2.0%,1,0.285465072,0.007000408,0.058769239,,312523,0.4%,20.9%,30,0.062537957,0.001213079,-0.015989913,-1,11,0.203044659,-0.001886479,0.042743191
 National,April 2013,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,4/1/2013,4/30/2013,U.S.,1400,Value,2402729,0.056547482,-0.097709947,0.977069303,0.3%,1.2%,459989,9.5%,13.6%,1842873,4.8%,-14.5%,60,-10,-20,119,0.024645072,0.104830871,226280,0.042545376,0.134989413,108,0.033961185,0.103428226,$199K,3.1%,12.0%,4.006342444,-0.180520755,-1.317575589,687632,13.5%,13.2%,1,0.382987761,-0.012133616,0.059077468,,388663,18.1%,25.6%,30,0.052106313,0.004148301,-0.004469992,-1,11,0.238013588,0.014317785,0.049532450
 National,June 2015,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,6/1/2015,6/30/2015,U.S.,1400,Value,2729867,0.025662294,0.040972404,0.981515894,0.1%,0.4%,633602,16.1%,16.7%,2047119,1.8%,0.3%,45,-3,-3,132,-0.009708993,0.052609260,250032,-0.024228326,0.051469591,129,0.015917822,0.059444817,$245K,2.6%,7.0%,3.230921039,-0.455774841,-0.528285873,755187,-2.8%,8.1%,1,0.337345436,-0.043302694,0.004770126,,504848,4.7%,20.9%,30,0.129615530,0.010883873,0.033117276,-1,11,0.237607441,0.005865259,0.023318942
 National,November 2015,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,11/1/2015,11/30/2015,U.S.,1400,Value,2339212,-0.077877881,-0.025778500,0.973797817,-0.1%,0.3%,393948,-20.7%,4.1%,1803188,-6.6%,-5.4%,56,3,-7,129,-0.024198561,0.067493775,237903,-0.028299297,0.078377040,127,0.001050521,0.062105369,$234K,0.7%,6.5%,4.577225008,0.691536756,-0.456129435,432342,-23.8%,8.6%,1,0.284995965,-0.013795228,0.026233267,,321604,-16.2%,15.2%,30,0.115607067,-0.029072481,0.026264340,-1,11,0.195778725,-0.001729152,0.020428682
