,Monthly Nominal GDP Index,Monthly Real GDP Index
1992 - Jan,6315.826,9480.081
1992 - Feb,6356.427,9521.412
1992 - Mar,6417.053,9600.052
1992 - Apr,6443.275,9606.322
1992 - May,6433.980,9588.478
1992 - Jun,6535.033,9716.829
1992 - Jul,6557.532,9734.278
1992 - Aug,6556.625,9714.498
1992 - Sep,6585.766,9748.627
1992 - Oct,6637.305,9803.368
1992 - Nov,6680.253,9831.195
1992 - Dec,6724.851,9867.304
1993 - Jan,6717.714,9852.218
1993 - Feb,6741.534,9867.761
1993 - Mar,6729.129,9831.253
1993 - Apr,6768.317,9869.847
1993 - May,6824.204,9928.230
1993 - Jun,6834.296,9925.227
1993 - Jul,6832.981,9903.581
1993 - Aug,6873.971,9942.819
1993 - Sep,6939.342,10018.773
1993 - Oct,6944.714,10016.540
1993 - Nov,7036.004,10114.444
1993 - Dec,7060.496,10140.437
1994 - Jan,7074.469,10139.568
1994 - Feb,7122.956,10195.969
1994 - Mar,7149.531,10229.594
1994 - Apr,7186.284,10264.063
1994 - May,7290.267,10363.006
1994 - Jun,7264.241,10352.198
1994 - Jul,7299.039,10354.903
1994 - Aug,7351.719,10425.498
1994 - Sep,7342.467,10380.126
1994 - Oct,7429.131,10475.171
1994 - Nov,7431.810,10469.066
1994 - Dec,7504.923,10573.578
1995 - Jan,7542.180,10576.135
1995 - Feb,7488.284,10499.712
1995 - Mar,7536.403,10554.076
1995 - Apr,7538.951,10521.699
1995 - May,7560.866,10551.149
1995 - Jun,7643.175,10651.864
1995 - Jul,7630.481,10599.044
1995 - Aug,7674.121,10657.281
1995 - Sep,7744.773,10738.398
1995 - Oct,7747.389,10692.199
1995 - Nov,7747.694,10710.531
1995 - Dec,7822.676,10809.786
1996 - Jan,7840.440,10787.758
1996 - Feb,7852.859,10804.338
1996 - Mar,7912.105,10862.398
1996 - Apr,8025.058,11006.008
1996 - May,8009.413,10969.991
1996 - Jun,8064.048,11019.765
1996 - Jul,8099.335,11060.569
1996 - Aug,8122.934,11092.793
1996 - Sep,8171.954,11137.875
1996 - Oct,8251.075,11212.476
1996 - Nov,8281.780,11234.132
1996 - Dec,8246.458,11190.243
1997 - Jan,8309.335,11256.729
1997 - Feb,8385.541,11336.060
1997 - Mar,8393.088,11261.171
1997 - Apr,8512.118,11512.008
1997 - May,8476.292,11402.013
1997 - Jun,8568.066,11502.564
1997 - Jul,8620.803,11595.484
1997 - Aug,8655.761,11625.285
1997 - Sep,8711.905,11626.298
1997 - Oct,8747.981,11701.194
1997 - Nov,8736.437,11677.000
1997 - Dec,8813.302,11768.092
1998 - Jan,8772.589,11705.926
1998 - Feb,8894.373,11878.733
1998 - Mar,8932.478,11912.829
1998 - Apr,8925.731,11887.689
1998 - May,8952.668,11917.310
1998 - Jun,9030.698,12020.964
1998 - Jul,9050.717,11996.580
1998 - Aug,9100.029,12057.412
1998 - Sep,9212.545,12220.445
1998 - Oct,9266.275,12262.684
1998 - Nov,9307.260,12312.854
1998 - Dec,9308.438,12285.033
1999 - Jan,9360.444,12317.288
1999 - Feb,9419.044,12414.348
1999 - Mar,9472.304,12477.869
1999 - Apr,9496.973,12472.509
1999 - May,9531.343,12509.004
1999 - Jun,9544.140,12514.294
1999 - Jul,9656.050,12624.497
1999 - Aug,9656.139,12659.545
1999 - Sep,9733.379,12702.757
1999 - Oct,9810.788,12767.531
1999 - Nov,9887.945,12859.745
1999 - Dec,9999.401,13004.703
2000 - Jan,9920.560,12857.907
2000 - Feb,9998.869,12920.763
2000 - Mar,10089.142,12993.210
2000 - Apr,10222.118,13156.939
2000 - May,10230.799,13141.684
2000 - Jun,10290.120,13183.065
2000 - Jul,10235.286,13094.758
2000 - Aug,10339.205,13204.248
2000 - Sep,10384.984,13235.173
2000 - Oct,10428.696,13262.527
2000 - Nov,10449.570,13263.199
2000 - Dec,10438.809,13255.309
2001 - Jan,10468.514,13247.687
2001 - Feb,10468.555,13227.303
2001 - Mar,10481.567,13193.074
2001 - Apr,10568.262,13295.646
2001 - May,10639.417,13351.520
2001 - Jun,10585.786,13252.888
2001 - Jul,10578.760,13209.767
2001 - Aug,10689.197,13357.954
2001 - Sep,10520.926,13166.636
2001 - Oct,10645.798,13269.701
2001 - Nov,10585.864,13189.636
2001 - Dec,10749.220,13383.525
2002 - Jan,10790.217,13429.708
2002 - Feb,10755.007,13348.108
2002 - Mar,10821.632,13413.547
2002 - Apr,10863.003,13460.981
2002 - May,10875.360,13459.017
2002 - Jun,10941.257,13514.791
2002 - Jul,11008.564,13585.999
2002 - Aug,10954.996,13503.608
2002 - Sep,11012.593,13524.709
2002 - Oct,11008.839,13505.512
2002 - Nov,11063.656,13544.164
2002 - Dec,11141.894,13627.326
2003 - Jan,11148.720,13609.626
2003 - Feb,11218.796,13675.624
2003 - Mar,11183.005,13617.715
2003 - Apr,11263.071,13689.858
2003 - May,11272.134,13696.082
2003 - Jun,11403.421,13869.298
2003 - Jul,11468.037,13907.064
2003 - Aug,11569.554,13984.669
2003 - Sep,11664.387,14064.155
2003 - Oct,11697.153,14079.632
2003 - Nov,11781.284,14159.186
2003 - Dec,11829.388,14198.702
2004 - Jan,11805.898,14113.678
2004 - Feb,11924.242,14234.545
2004 - Mar,12030.367,14315.740
2004 - Apr,12027.916,14269.422
2004 - May,12171.680,14405.340
2004 - Jun,12127.365,14314.412
2004 - Jul,12277.503,14434.885
2004 - Aug,12298.627,14472.337
2004 - Sep,12333.890,14488.361
2004 - Oct,12466.473,14585.122
2004 - Nov,12508.902,14593.359
2004 - Dec,12591.899,14651.777
2005 - Jan,12744.478,14780.746
2005 - Feb,12743.777,14752.885
2005 - Mar,12795.756,14781.819
2005 - Apr,12842.350,14806.340
2005 - May,12872.446,14781.222
2005 - Jun,13015.270,14932.290
2005 - Jul,13090.603,14954.241
2005 - Aug,13154.260,14998.532
2005 - Sep,13183.756,14963.927
2005 - Oct,13241.796,14986.681
2005 - Nov,13310.409,15025.725
2005 - Dec,13444.743,15187.842
2006 - Jan,13522.021,15234.020
2006 - Feb,13575.974,15221.424
2006 - Mar,13713.804,15345.968
2006 - Apr,13690.773,15259.332
2006 - May,13779.583,15335.047
2006 - Jun,13779.062,15314.131
2006 - Jul,13788.094,15265.391
2006 - Aug,13882.388,15326.018
2006 - Sep,13931.925,15388.215
2006 - Oct,13963.998,15391.294
2006 - Nov,14057.827,15500.020
2006 - Dec,14089.859,15480.014
2007 - Jan,14129.855,15460.675
2007 - Feb,14283.127,15564.470
2007 - Mar,14212.725,15455.302
2007 - Apr,14346.747,15582.937
2007 - May,14382.355,15575.690
2007 - Jun,14417.987,15587.912
2007 - Jul,14393.910,15531.430
2007 - Aug,14574.746,15720.290
2007 - Sep,14636.353,15748.712
2007 - Oct,14635.070,15731.592
2007 - Nov,14684.885,15758.276
2007 - Dec,14724.549,15796.243
2008 - Jan,14753.597,15820.589
2008 - Feb,14573.576,15591.656
2008 - Mar,14625.944,15602.199
2008 - Apr,14700.496,15657.661
2008 - May,14742.586,15693.830
2008 - Jun,14973.750,15905.120
2008 - Jul,14908.116,15773.400
2008 - Aug,14852.031,15699.394
2008 - Sep,14745.415,15528.349
2008 - Oct,14639.671,15404.589
2008 - Nov,14655.356,15427.973
2008 - Dec,14383.602,15151.522
2009 - Jan,14437.968,15195.534
2009 - Feb,14407.811,15149.773
2009 - Mar,14337.862,15122.854
2009 - Apr,14332.950,15122.686
2009 - May,14350.729,15139.084
2009 - Jun,14374.870,15140.839
2009 - Jul,14347.688,15125.072
2009 - Aug,14453.973,15220.588
2009 - Sep,14459.276,15222.349
2009 - Oct,14671.247,15429.247
2009 - Nov,14643.649,15364.158
2009 - Dec,14569.168,15275.087
2010 - Jan,14670.122,15363.578
2010 - Feb,14691.394,15394.092
2010 - Mar,14802.534,15487.863
2010 - Apr,14899.668,15553.910
2010 - May,14899.436,15521.934
2010 - Jun,14979.190,15596.358
2010 - Jul,15049.240,15665.702
2010 - Aug,15049.662,15639.071
2010 - Sep,15140.849,15711.432
2010 - Oct,15216.456,15748.102
2010 - Nov,15196.260,15703.888
2010 - Dec,15309.813,15800.184
2011 - Jan,15185.417,15650.917
2011 - Feb,15219.844,15638.255
2011 - Mar,15452.223,15849.220
2011 - Apr,15523.361,15890.077
2011 - May,15505.104,15818.142
2011 - Jun,15460.102,15767.337
2011 - Jul,15554.917,15809.638
2011 - Aug,15660.611,15886.013
2011 - Sep,15560.022,15766.733
2011 - Oct,15810.723,16035.794
2011 - Nov,15792.242,15989.838
2011 - Dec,15786.414,15986.969
2012 - Jan,15890.823,16034.795
2012 - Feb,16167.743,16269.715
2012 - Mar,16000.709,16083.637
2012 - Apr,16130.621,16183.036
2012 - May,16168.789,16222.008
2012 - Jun,16157.360,16191.336
2012 - Jul,16263.784,16268.199
2012 - Aug,16203.970,16168.585
2012 - Sep,16303.699,16225.224
2012 - Oct,16272.542,16157.389
2012 - Nov,16343.062,16232.001
2012 - Dec,16460.985,16328.158
2013 - Jan,16613.163,16453.877
2013 - Feb,16518.524,16315.025
2013 - Mar,16577.086,16380.322
2013 - Apr,16583.713,16384.670
2013 - May,16593.342,16362.472
2013 - Jun,16736.723,16462.700
2013 - Jul,16785.430,16490.532
2013 - Aug,16872.701,16556.245
2013 - Sep,16888.113,16548.607
2013 - Oct,16997.071,16624.785
2013 - Nov,17119.311,16699.941
2013 - Dec,17133.029,16666.567
2014 - Jan,17036.730,16571.103
2014 - Feb,17126.579,16645.463
2014 - Mar,17150.357,16633.419
2014 - Apr,17322.482,16774.072
2014 - May,17445.896,16838.281
2014 - Jun,17530.348,16912.447
2014 - Jul,17667.938,17005.048
2014 - Aug,17777.464,17100.905
2014 - Sep,17719.568,17035.744
2014 - Oct,17836.762,17137.896
2014 - Nov,17867.834,17154.007
2014 - Dec,17845.140,17137.584
2015 - Jan,17937.226,17296.827
2015 - Feb,18071.581,17379.958
2015 - Mar,18001.390,17240.608
2015 - Apr,18186.244,17439.531
2015 - May,18206.645,17389.682
2015 - Jun,18277.842,17439.518
2015 - Jul,18315.507,17454.731
2015 - Aug,18329.575,17461.601
2015 - Sep,18397.193,17542.061
2015 - Oct,18401.067,17540.540
2015 - Nov,18343.946,17476.535
2015 - Dec,18391.397,17525.455
2016 - Jan,18413.804,17571.328
2016 - Feb,18394.388,17552.353
2016 - Mar,18602.275,17716.476
2016 - Apr,18643.572,17696.735
2016 - May,18615.378,17616.471
2016 - Jun,18709.671,17691.572
2016 - Jul,18693.265,17649.256
2016 - Aug,18826.970,17774.396
2016 - Sep,18943.842,17869.614
2016 - Oct,18911.527,17791.263
2016 - Nov,19065.609,17916.044
2016 - Dec,19120.603,17921.409
2017 - Jan,19155.439,17910.289
2017 - Feb,19211.536,17947.682
2017 - Mar,19345.331,18074.218
2017 - Apr,19247.477,17942.691
2017 - May,19394.325,18069.268
2017 - Jun,19495.893,18150.608
2017 - Jul,19501.755,18125.425
2017 - Aug,19597.035,18175.444
2017 - Sep,19753.074,18256.417
2017 - Oct,19788.421,18256.724
2017 - Nov,19990.385,18408.846
2017 - Dec,20035.083,18413.098
2018 - Jan,20154.530,18489.286
2018 - Feb,20271.915,18559.548
2018 - Mar,20300.200,18543.006
2018 - Apr ,20438.746,18606.506
2018 - May,20602.012,18690.800
2018 - Jun,20617.200,18666.302
2018 - Jul,20680.670,18702.889
2018 - Aug,20761.657,18782.429
2018 - Sep,20785.842,18772.249
2018 - Oct,20916.322,18831.102
2018 - Nov,20876.542,18777.559
2018 - Dec,20936.696,18833.621
2019 - Jan,21115.336,18981.396
2019 - Feb,21099.728,18939.314
2019 - Mar,21130.863,18930.811
2019 - Apr,21252.498,18970.847
2019 - May,21334.091,19026.085
2019 - Jun,21403.042,19065.336
2019 - Jul,21520.655,19133.548
2019 - Aug,21506.121,19107.658
2019 - Sep,21594.123,19184.482
2019 - Oct,21705.113,19244.068
2019 - Nov,21723.048,19234.945
2019 - Dec,21814.039,19283.297
2020 - Jan,21845.848,19263.831
2020 - Feb,22007.732,19404.558
2020 - Mar,20829.721,18365.189
2020 - Apr,18580.499,16515.284
2020 - May,19415.061,17234.898
2020 - Jun,20564.740,18160.219
2020 - Jul,20976.163,18453.268
2020 - Aug,21151.857,18576.420
2020 - Sep,21378.293,18726.640
2020 - Oct,21555.032,18862.228
