,region,month_year,region_type,state_code,last_updated,state_name,active_listings,active_listings_yoy,homes_sold,homes_sold_yoy,homes_inventory,homes_inventory_yoy,median_dom,median_dom_yoy,median_sale_price,median_sale_price_yoy,months_of_supply,months_of_supply_yoy,new_listings,new_listings_yoy,pending_sales,pending_sales_yoy,region_type_id,month,year,month_code,month_year_code
0, National,January 2016,National,US,9/13/2020 2:44:56 PM,U.S.,2079954.0,-0.062060918,341903.0,10.4%,1604314.0,-7.7%,66.0,-10.0,228000.0,7.0%,4.692296296,-0.921140825,498183.0,-2.8%,265223.0,6.2%,11,January,2016,01,201601.0
1, National,April 2012,National,US,9/13/2020 2:44:56 PM,U.S.,2662923.0,-0.129866147,404927.0,8.9%,2155803.0,-16.3%,80.0,-17.0,178000.0,5.9%,5.323918033,-1.6038234480000002,607611.0,-1.6%,309537.0,22.5%,11,April,2012,04,201204.0
2, National,March 2019,National,US,9/13/2020 2:44:56 PM,U.S.,2129299.0,0.044900469000000005,490722.0,-5.8%,1494395.0,7.8%,50.0,5.0,283000.0,2.3%,3.04529451,0.384022391,711348.0,-3.0%,458146.0,-6.6%,11,March,2019,03,201903.0
3, National,May 2019,National,US,9/13/2020 2:44:56 PM,U.S.,2375409.0,0.040628287,647282.0,2.1%,1657511.0,5.5%,37.0,4.0,298000.0,3.8%,2.5607229030000003,0.08316973400000001,835135.0,-0.5%,572548.0,-2.7%,11,May,2019,05,201905.0
4, National,June 2019,National,US,9/13/2020 2:44:56 PM,U.S.,2372950.0,0.017088443000000002,624623.0,-6.9%,1696761.0,3.1%,36.0,4.0,303000.0,3.6%,2.716452602,0.262903402,737370.0,-5.8%,536436.0,-4.4%,11,June,2019,06,201906.0
5, National,March 2020,National,US,9/13/2020 2:44:56 PM,U.S.,1906409.0,-0.10467756800000001,507324.0,3.4%,1316823.0,-11.9%,44.0,-6.0,303000.0,6.9%,2.595621726,-0.44967278299999996,659598.0,-7.3%,444364.0,-3.0%,11,March,2020,03,202003.0
6, National,August 2012,National,US,9/13/2020 2:44:56 PM,U.S.,2588402.0,-0.135913806,485480.0,15.0%,2048712.0,-17.1%,70.0,-16.0,190000.0,8.2%,4.2199678369999996,-1.638612129,535612.0,2.0%,312523.0,20.9%,11,August,2012,08,201208.0
7, National,April 2013,National,US,9/13/2020 2:44:56 PM,U.S.,2402729.0,-0.09770994699999999,459989.0,13.6%,1842873.0,-14.5%,60.0,-20.0,199000.0,12.0%,4.0063424439999995,-1.317575589,687632.0,13.2%,388663.0,25.6%,11,April,2013,04,201304.0
8, National,June 2015,National,US,9/13/2020 2:44:56 PM,U.S.,2729867.0,0.040972404,633602.0,16.7%,2047119.0,0.3%,45.0,-3.0,245000.0,7.0%,3.2309210389999996,-0.528285873,755187.0,8.1%,504848.0,20.9%,11,June,2015,06,201506.0
9, National,November 2015,National,US,9/13/2020 2:44:56 PM,U.S.,2339212.0,-0.0257785,393948.0,4.1%,1803188.0,-5.4%,56.0,-7.0,234000.0,6.5%,4.577225008,-0.456129435,432342.0,8.6%,321604.0,15.2%,11,November,2015,11,201511.0
10, National,May 2016,National,US,9/13/2020 2:44:56 PM,U.S.,2518931.0,-0.0535902,591629.0,8.4%,1831656.0,-9.0%,42.0,-6.0,252000.0,5.5%,3.0959500139999996,-0.590745866,758596.0,-2.4%,527175.0,9.3%,11,May,2016,05,201605.0
11, National,June 2016,National,US,9/13/2020 2:44:56 PM,U.S.,2555996.0,-0.063692058,661162.0,4.3%,1871580.0,-8.6%,41.0,-4.0,259000.0,5.7%,2.830740927,-0.40018011200000003,757026.0,0.2%,516384.0,2.3%,11,June,2016,06,201606.0
12, National,December 2016,National,US,9/13/2020 2:44:56 PM,U.S.,1928315.0,-0.091644361,497955.0,1.8%,1426958.0,-11.7%,55.0,-5.0,254000.0,6.7%,2.8656314689999998,-0.43826719799999997,331748.0,-1.7%,294614.0,6.1%,11,December,2016,12,201612.0
13, National,June 2018,National,US,9/13/2020 2:44:56 PM,U.S.,2333082.0,-0.029837508999999998,670694.0,-3.2%,1645582.0,-3.5%,31.0,-4.0,292000.0,5.5%,2.453549201,-0.006188754,783168.0,-0.2%,561032.0,1.2%,11,June,2018,06,201806.0
14, National,January 2020,National,US,9/13/2020 2:44:56 PM,U.S.,1770584.0,-0.07943908200000001,377964.0,12.5%,1250798.0,-12.0%,56.0,-1.0,289000.0,6.2%,3.3093049960000003,-0.919625675,525964.0,-1.3%,330190.0,7.4%,11,January,2020,01,202001.0
15, National,August 2020,National,US,9/13/2020 2:44:56 PM,U.S.,1842036.0,-0.21014537600000002,652878.0,4.0%,1066903.0,-35.7%,31.0,-8.0,328000.0,11.0%,1.634154794,-1.009947325,691785.0,2.9%,638561.0,26.8%,11,August,2020,08,202008.0
16, National,February 2013,National,US,9/13/2020 2:44:56 PM,U.S.,2146657.0,-0.146914654,322111.0,5.7%,1715241.0,-17.5%,79.0,-18.0,181000.0,13.1%,5.324990198,-1.497042414,504844.0,-1.9%,251014.0,15.2%,11,February,2013,02,201302.0
17, National,February 2014,National,US,9/13/2020 2:44:56 PM,U.S.,2174927.0,0.013169462,310918.0,-3.5%,1748964.0,2.0%,78.0,-1.0,201000.0,11.0%,5.625147597000001,0.300157399,490954.0,-2.8%,236787.0,-5.7%,11,February,2014,02,201402.0
18, National,August 2014,National,US,9/13/2020 2:44:56 PM,U.S.,2672683.0,0.045733375,514686.0,-4.2%,2104706.0,6.1%,51.0,-3.0,226000.0,4.3%,4.089295889,0.39666648200000004,599027.0,-2.0%,376673.0,-0.5%,11,August,2014,08,201408.0
19, National,September 2014,National,US,9/13/2020 2:44:56 PM,U.S.,2643764.0,0.057865082000000005,469975.0,4.9%,2090802.0,5.0%,56.0,-1.0,220000.0,4.8%,4.448745542,0.006140905,576155.0,4.9%,342286.0,6.8%,11,September,2014,09,201409.0
20, National,November 2016,National,US,9/13/2020 2:44:56 PM,U.S.,2169107.0,-0.072718819,476043.0,20.8%,1611721.0,-10.6%,51.0,-6.0,254000.0,8.6%,3.3856601489999996,-1.191564858,443114.0,2.5%,355192.0,10.4%,11,November,2016,11,201611.0
