Period,Months of Housing Supply,Mortgage Rate,Housing Price Index,Unemployment Rate,Average Hourly Wage,Real GDP Index
2012-02,5.4,3.95,121.7959059,8.3,23.27,16269.715
2012-03,5.6,3.99,122.3491764,8.2,23.36,16083.637
2012-04,5.5,3.88,123.0669849,8.2,23.39,16183.036
2012-05,5.3,3.75,123.8504432,8.2,23.39,16222.008
2012-06,5.2,3.66,124.4723657,8.2,23.46,16191.336
2012-07,5.1,3.49,125.0883257,8.2,23.51,16268.199
2012-08,4.9,3.59,125.8346285,8.1,23.49,16168.585
2012-09,4.7,3.4,126.6933301,7.8,23.57,16225.224
2012-10,4.6,3.41,127.6328756,7.8,23.56,16157.389
2012-11,4.5,3.32,128.5438796,7.7,23.63,16232.001
2012-12,4.5,3.35,129.3871252,7.9,23.73,16328.158
2013-01,4.3,3.53,130.5576373,8,23.76,16453.877
2013-02,4.4,3.51,131.8339545,7.7,23.77,16315.025
2013-03,4.2,3.57,133.1455477,7.5,23.81,16380.322
2013-04,4.3,3.4,134.3948847,7.6,23.87,16384.67
2013-05,4.2,3.81,135.7139874,7.5,23.89,16362.472
2013-06,4.1,4.46,137.0178139,7.5,23.97,16462.7
2013-07,4.1,4.31,138.3673935,7.3,23.98,16490.532
2013-08,4.1,4.51,139.4341222,7.2,24.03,16556.245
2013-09,4.3,4.32,140.2251008,7.2,24.06,16548.607
2013-10,4.4,4.1,140.9098371,7.2,24.09,16624.785
2013-11,4.5,4.29,141.5713917,6.9,24.16,16699.941
2013-12,4.5,4.48,142.2066085,6.7,24.17,16666.567
2014-01,4.6,4.32,142.9564846,6.6,24.21,16571.103
2014-02,4.6,4.37,143.6286524,6.7,24.32,16645.463
2014-03,4.6,4.4,144.2351,6.7,24.31,16633.419
2014-04,4.5,4.33,144.7137736,6.2,24.34,16774.072
2014-05,4.4,4.12,145.1346132,6.3,24.4,16838.281
2014-06,4.4,4.14,145.5585354,6.1,24.44,16912.447
2014-07,4.4,4.12,146.1267825,6.2,24.48,17005.048
2014-08,4.4,4.1,146.6600845,6.1,24.55,17100.905
2014-09,4.4,4.2,147.1985676,5.9,24.56,17035.744
2014-10,4.3,3.98,147.8754497,5.7,24.58,17137.896
2014-11,4.4,3.97,148.6201687,5.8,24.65,17154.007
2014-12,4.4,3.87,149.2975148,5.6,24.65,17137.584
2015-01,4.4,3.66,149.9641619,5.7,24.73,17296.827
2015-02,4.3,3.8,150.6035625,5.5,24.78,17379.958
2015-03,4.1,3.69,151.2697436,5.4,24.84,17240.608
2015-04,4.1,3.68,151.948104,5.4,24.89,17439.531
2015-05,4,3.87,152.70489,5.6,24.96,17389.682
2015-06,3.9,4.02,153.5046977,5.3,24.98,17439.518
2015-07,3.8,3.98,154.3213527,5.2,25,17454.731
2015-08,3.8,3.84,155.1164962,5.1,25.1,17461.601
2015-09,3.7,3.86,155.9042223,5,25.11,17542.061
2015-10,3.8,3.76,156.719302,5,25.19,17540.54
2015-11,4.3,3.95,157.5377344,5.1,25.24,17476.535
2015-12,3.7,4.01,158.2442216,5,25.27,17525.455
2016-01,3.6,3.79,158.8703257,4.8,25.36,17571.328
2016-02,3.6,3.62,159.5826243,4.9,25.38,17552.353
2016-03,3.7,3.71,160.3042564,5,25.45,17716.476
2016-04,3.6,3.66,161.0237792,5.1,25.53,17696.735
2016-05,3.5,3.64,161.8492289,4.8,25.58,17616.471
2016-06,3.4,3.48,162.6871688,4.9,25.63,17691.572
2016-07,3.4,3.48,163.487255,4.8,25.7,17649.256
2016-08,3.4,3.43,164.3292627,4.9,25.72,17774.396
2016-09,3.3,3.42,165.1968452,5,25.77,17869.614
2016-10,3.2,3.47,166.0495981,4.9,25.88,17791.263
2016-11,3.2,4.03,166.9238382,4.7,25.91,17916.044
2016-12,3.2,4.32,167.8582248,4.7,25.94,17921.409
2017-01,3.1,4.19,168.8022274,4.7,26,17910.289
2017-02,3.2,4.16,169.7684174,4.6,26.08,17947.682
2017-03,3.1,4.14,170.6835166,4.4,26.11,18074.218
2017-04,3,4.03,171.6574011,4.5,26.17,17942.691
