,Year_Month,Housing_SA,Housing_Classification_SA,Mortgage_Rate,Housing_Price_Index_SA,Unemployment_Rate,Hourly_Wage,Real-GDP-Index
0,2012-02,5.4,Buyer's Market,3.95,121.79590591,8.3,23.27,16269.715
1,2012-03,5.6,Buyer's Market,3.99,122.34917641,8.2,23.36,16083.637
2,2012-04,5.5,Buyer's Market,3.88,123.06698485,8.2,23.39,16183.036
3,2012-05,5.3,Buyer's Market,3.75,123.85044323,8.2,23.39,16222.008
4,2012-06,5.2,Buyer's Market,3.66,124.47236571,8.2,23.46,16191.336
5,2012-07,5.1,Buyer's Market,3.49,125.08832565,8.2,23.51,16268.199
6,2012-08,4.9,Balanced Market,3.59,125.83462854,8.1,23.49,16168.585
7,2012-09,4.7,Balanced Market,3.4,126.69333011,7.8,23.57,16225.223999999998
8,2012-10,4.6,Balanced Market,3.41,127.63287561,7.8,23.56,16157.389
9,2012-11,4.5,Balanced Market,3.32,128.54387963,7.7,23.63,16232.001
10,2012-12,4.5,Balanced Market,3.35,129.38712524,7.9,23.73,16328.158
11,2013-01,4.3,Balanced Market,3.53,130.55763731,8.0,23.76,16453.877
12,2013-02,4.4,Balanced Market,3.51,131.83395453,7.7,23.77,16315.025
13,2013-03,4.2,Balanced Market,3.57,133.14554768,7.5,23.81,16380.322
14,2013-04,4.3,Balanced Market,3.4,134.39488472,7.6,23.87,16384.67
15,2013-05,4.2,Balanced Market,3.81,135.71398739,7.5,23.89,16362.472
16,2013-06,4.1,Balanced Market,4.46,137.01781387,7.5,23.97,16462.7
17,2013-07,4.1,Balanced Market,4.31,138.36739348,7.3,23.98,16490.532
18,2013-08,4.1,Balanced Market,4.51,139.43412221,7.2,24.03,16556.245
19,2013-09,4.3,Balanced Market,4.32,140.22510078,7.2,24.06,16548.607
20,2013-10,4.4,Balanced Market,4.1,140.90983706,7.2,24.09,16624.785
21,2013-11,4.5,Balanced Market,4.29,141.57139171,6.9,24.16,16699.941000000006
22,2013-12,4.5,Balanced Market,4.48,142.20660846,6.7,24.17,16666.567
23,2014-01,4.6,Balanced Market,4.32,142.95648461,6.6,24.21,16571.103
24,2014-02,4.6,Balanced Market,4.37,143.62865242,6.7,24.32,16645.463
