,year,month_code,month_name,unemployment_rate,hourly_wage,month_year
0,2020,M12,December,6.7,29.81,December 2020
1,2020,M11,November,6.7,29.58,November 2020
2,2020,M10,October,6.9,29.49,October 2020
3,2020,M09,September,7.8,29.47,September 2020
4,2020,M08,August,8.4,29.45,August 2020
5,2020,M07,July,10.2,29.35,July 2020
6,2020,M06,June,11.1,29.32,June 2020
7,2020,M05,May,13.3,29.70,May 2020
8,2020,M04,April,14.8,30.03,April 2020
9,2020,M03,March,4.4,28.69,March 2020
10,2020,M02,February,3.5,28.52,February 2020
11,2020,M01,January,3.5,28.43,January 2020
12,2019,M12,December,3.6,28.37,December 2019
13,2019,M11,November,3.6,28.34,November 2019
14,2019,M10,October,3.6,28.24,October 2019
15,2019,M09,September,3.5,28.16,September 2019
16,2019,M08,August,3.7,28.16,August 2019
17,2019,M07,July,3.6,28.05,July 2019
18,2019,M06,June,3.6,27.96,June 2019
19,2019,M05,May,3.7,27.87,May 2019
20,2019,M04,April,3.7,27.81,April 2019
21,2019,M03,March,3.8,27.76,March 2019
22,2019,M02,February,3.8,27.69,February 2019
23,2019,M01,January,4.0,27.58,January 2019
24,2018,M12,December,3.9,27.54,December 2018
25,2018,M11,November,3.8,27.44,November 2018
26,2018,M10,October,3.8,27.36,October 2018
27,2018,M09,September,3.7,27.31,September 2018
28,2018,M08,August,3.8,27.22,August 2018
29,2018,M07,July,3.8,27.11,July 2018
30,2018,M06,June,4.0,27.04,June 2018
31,2018,M05,May,3.8,26.98,May 2018
32,2018,M04,April,4.0,26.91,April 2018
33,2018,M03,March,4.0,26.84,March 2018
34,2018,M02,February,4.1,26.75,February 2018
35,2018,M01,January,4.0,26.71,January 2018
36,2017,M12,December,4.1,26.64,December 2017
37,2017,M11,November,4.2,26.55,November 2017
38,2017,M10,October,4.1,26.48,October 2017
39,2017,M09,September,4.2,26.51,September 2017
40,2017,M08,August,4.4,26.38,August 2017
41,2017,M07,July,4.3,26.36,July 2017
42,2017,M06,June,4.3,26.27,June 2017
43,2017,M05,May,4.4,26.21,May 2017
44,2017,M04,April,4.5,26.17,April 2017
45,2017,M03,March,4.4,26.11,March 2017
46,2017,M02,February,4.6,26.08,February 2017
47,2017,M01,January,4.7,26.00,January 2017
48,2016,M12,December,4.7,25.94,December 2016
49,2016,M11,November,4.7,25.91,November 2016
50,2016,M10,October,4.9,25.88,October 2016
51,2016,M09,September,5.0,25.77,September 2016
52,2016,M08,August,4.9,25.72,August 2016
53,2016,M07,July,4.8,25.70,July 2016
54,2016,M06,June,4.9,25.63,June 2016
55,2016,M05,May,4.8,25.58,May 2016
56,2016,M04,April,5.1,25.53,April 2016
57,2016,M03,March,5.0,25.45,March 2016
58,2016,M02,February,4.9,25.38,February 2016
59,2016,M01,January,4.8,25.36,January 2016
60,2015,M12,December,5.0,25.27,December 2015
61,2015,M11,November,5.1,25.24,November 2015
62,2015,M10,October,5.0,25.19,October 2015
63,2015,M09,September,5.0,25.11,September 2015
64,2015,M08,August,5.1,25.10,August 2015
65,2015,M07,July,5.2,25.00,July 2015
66,2015,M06,June,5.3,24.98,June 2015
67,2015,M05,May,5.6,24.96,May 2015
68,2015,M04,April,5.4,24.89,April 2015
69,2015,M03,March,5.4,24.84,March 2015
70,2015,M02,February,5.5,24.78,February 2015
71,2015,M01,January,5.7,24.73,January 2015
72,2014,M12,December,5.6,24.65,December 2014
73,2014,M11,November,5.8,24.65,November 2014
74,2014,M10,October,5.7,24.58,October 2014
75,2014,M09,September,5.9,24.56,September 2014
76,2014,M08,August,6.1,24.55,August 2014
77,2014,M07,July,6.2,24.48,July 2014
78,2014,M06,June,6.1,24.44,June 2014
79,2014,M05,May,6.3,24.40,May 2014
80,2014,M04,April,6.2,24.34,April 2014
81,2014,M03,March,6.7,24.31,March 2014
82,2014,M02,February,6.7,24.32,February 2014
83,2014,M01,January,6.6,24.21,January 2014
84,2013,M12,December,6.7,24.17,December 2013
85,2013,M11,November,6.9,24.16,November 2013
86,2013,M10,October,7.2,24.09,October 2013
87,2013,M09,September,7.2,24.06,September 2013
88,2013,M08,August,7.2,24.03,August 2013
89,2013,M07,July,7.3,23.98,July 2013
90,2013,M06,June,7.5,23.97,June 2013
91,2013,M05,May,7.5,23.89,May 2013
92,2013,M04,April,7.6,23.87,April 2013
93,2013,M03,March,7.5,23.81,March 2013
94,2013,M02,February,7.7,23.77,February 2013
95,2013,M01,January,8.0,23.76,January 2013
96,2012,M12,December,7.9,23.73,December 2012
97,2012,M11,November,7.7,23.63,November 2012
98,2012,M10,October,7.8,23.56,October 2012
99,2012,M09,September,7.8,23.57,September 2012
100,2012,M08,August,8.1,23.49,August 2012
101,2012,M07,July,8.2,23.51,July 2012
102,2012,M06,June,8.2,23.46,June 2012
103,2012,M05,May,8.2,23.39,May 2012
104,2012,M04,April,8.2,23.39,April 2012
105,2012,M03,March,8.2,23.36,March 2012
106,2012,M02,February,8.3,23.27,February 2012
107,2012,M01,January,8.3,23.24,January 2012
108,2011,M12,December,8.5,23.21,December 2011
109,2011,M11,November,8.6,23.18,November 2011
110,2011,M10,October,8.8,23.21,October 2011
111,2011,M09,September,9.0,23.11,September 2011
112,2011,M08,August,9.0,23.07,August 2011
113,2011,M07,July,9.0,23.10,July 2011
114,2011,M06,June,9.1,23.01,June 2011
115,2011,M05,May,9.0,22.99,May 2011
116,2011,M04,April,9.1,22.92,April 2011
117,2011,M03,March,9.0,22.87,March 2011
118,2011,M02,February,9.0,22.87,February 2011
119,2011,M01,January,9.1,22.85,January 2011
