,Year,Month,Rate,Rate_Change,Percent_Rate_Change,Year_Month
0,2021,01,2.65,-0.02,-0.0074906367041199,2021-01
1,2020,12,2.67,-0.05,-0.018382352941177,2020-12
2,2020,11,2.72,-0.09,-0.03202846975089,2020-11
3,2020,10,2.81,-0.09,-0.031034482758621,2020-10
4,2020,09,2.9,-0.01,-0.0034364261168386,2020-09
5,2020,08,2.91,-0.08,-0.026755852842809,2020-08
6,2020,07,2.99,-0.14,-0.044728434504792004,2020-07
7,2020,06,3.13,-0.02,-0.0063492063492064,2020-06
8,2020,05,3.15,-0.08,-0.024767801857585,2020-05
9,2020,04,3.23,-0.27,-0.077142857142857,2020-04
10,2020,03,3.5,0.05,0.014492753623188,2020-03
11,2020,02,3.45,-0.06,-0.017094017094017,2020-02
12,2020,01,3.51,-0.23,-0.061497326203209,2020-01
13,2019,12,3.74,0.06,0.016304347826087,2019-12
14,2019,11,3.68,-0.1,-0.026455026455026,2019-11
15,2019,10,3.78,0.14,0.03846153846153799,2019-10
16,2019,09,3.64,0.06,0.016759776536312998,2019-09
17,2019,08,3.58,-0.17,-0.045333333333333004,2019-08
18,2019,07,3.75,0.02,0.0053619302949062,2019-07
19,2019,06,3.73,-0.26,-0.06516290726816999,2019-06
20,2019,05,3.99,-0.21,-0.05,2019-05
21,2019,04,4.2,0.14,0.03448275862069,2019-04
22,2019,03,4.06,-0.29,-0.066666666666667,2019-03
23,2019,02,4.35,-0.11,-0.024663677130044998,2019-02
24,2019,01,4.46,-0.09,-0.01978021978022,2019-01
25,2018,12,4.55,-0.26,-0.054054054054054,2018-12
26,2018,11,4.81,-0.05,-0.010288065843622,2018-11
27,2018,10,4.86,0.14,0.029661016949152998,2018-10
28,2018,09,4.72,0.2,0.04424778761062,2018-09
29,2018,08,4.52,-0.02,-0.0044052863436124,2018-08
30,2018,07,4.54,-0.01,-0.0021978021978022,2018-07
31,2018,06,4.55,-0.01,-0.0021929824561403,2018-06
32,2018,05,4.56,-0.02,-0.0043668122270743,2018-05
33,2018,04,4.58,0.14,0.031531531531531,2018-04
34,2018,03,4.44,0.04,0.0090909090909091,2018-03
35,2018,02,4.4,0.25,0.060240963855422006,2018-02
36,2018,01,4.15,0.16,0.040100250626566,2018-01
37,2017,12,3.99,0.09,0.023076923076922995,2017-12
38,2017,11,3.9,-0.04,-0.010152284263959,2017-11
39,2017,10,3.94,0.11,0.028720626631854,2017-10
40,2017,09,3.83,0.01,0.0026178010471205,2017-09
41,2017,08,3.82,-0.1,-0.025510204081632997,2017-08
42,2017,07,3.92,0.04,0.010309278350514999,2017-07
43,2017,06,3.88,-0.07,-0.017721518987342,2017-06
44,2017,05,3.95,-0.08,-0.01985111662531,2017-05
45,2017,04,4.03,-0.11,-0.026570048309179,2017-04
46,2017,03,4.14,-0.02,-0.0048076923076924,2017-03
47,2017,02,4.16,-0.03,-0.0071599045346063,2017-02
48,2017,01,4.19,-0.13,-0.030092592592592997,2017-01
49,2016,12,4.32,0.29,0.07196029776674902,2016-12
50,2016,11,4.03,0.56,0.16138328530259,2016-11
51,2016,10,3.47,0.05,0.014619883040936,2016-10
52,2016,09,3.42,-0.01,-0.0029154518950438,2016-09
53,2016,08,3.43,-0.05,-0.014367816091953999,2016-08
54,2016,07,3.48,0.0,0.0,2016-07
55,2016,06,3.48,-0.16,-0.043956043956044,2016-06
56,2016,05,3.64,-0.02,-0.0054644808743169,2016-05
57,2016,04,3.66,-0.05,-0.013477088948786999,2016-04
58,2016,03,3.71,0.09,0.024861878453038996,2016-03
59,2016,02,3.62,-0.17,-0.044854881266490995,2016-02
60,2016,01,3.79,-0.22,-0.054862842892768,2016-01
61,2015,12,4.01,0.06,0.015189873417721,2015-12
62,2015,11,3.95,0.19,0.050531914893617004,2015-11
63,2015,10,3.76,-0.1,-0.025906735751294995,2015-10
64,2015,09,3.86,0.02,0.0052083333333333,2015-09
65,2015,08,3.84,-0.14,-0.035175879396985,2015-08
